,equity
2025-01-11 09:20:00,1000.0
2025-01-11 09:25:00,1000.0
2025-01-11 09:30:00,1000.0
2025-01-11 09:35:00,1000.0
2025-01-11 09:40:00,1000.0
2025-01-11 09:45:00,1000.0
2025-01-11 09:50:00,1000.0
2025-01-11 09:55:00,1000.0
2025-01-11 10:00:00,1000.0
2025-01-11 10:05:00,1000.0
2025-01-11 10:10:00,999.41326918
2025-01-11 10:15:00,1000.0
2025-01-11 10:20:00,999.41326918
2025-01-11 10:25:00,999.3230029
2025-01-11 10:30:00,999.5486686
2025-01-11 10:35:00,999.41326918
2025-01-11 10:40:00,998.73627208
2025-01-11 10:45:00,997.7884761400001
2025-01-11 10:50:00,997.92387556
2025-01-11 10:55:00,998.10440812
2025-01-11 11:00:00,998.05927498
2025-01-11 11:05:00,998.10440812
2025-01-11 11:10:00,998.6460058
2025-01-11 11:15:00,997.69820986
2025-01-11 11:20:00,997.69820986
2025-01-11 11:25:00,997.69820986
2025-01-11 11:30:00,997.69820986
2025-01-11 11:35:00,997.69820986
2025-01-11 11:40:00,997.69820986
2025-01-11 11:45:00,997.69820986
2025-01-11 11:50:00,997.69820986
2025-01-11 11:55:00,997.69820986
2025-01-11 12:00:00,997.69820986
2025-01-11 12:05:00,997.69820986
2025-01-11 12:10:00,997.69820986
2025-01-11 12:15:00,997.69820986
2025-01-11 12:20:00,997.69820986
2025-01-11 12:25:00,997.69820986
2025-01-11 12:30:00,997.69820986
2025-01-11 12:35:00,997.69820986
2025-01-11 12:40:00,997.69820986
2025-01-11 12:45:00,997.69820986
2025-01-11 12:50:00,997.69820986
2025-01-11 12:55:00,997.69820986
2025-01-11 13:00:00,997.69820986
2025-01-11 13:05:00,997.69820986
2025-01-11 13:10:00,997.69820986
2025-01-11 13:15:00,997.69820986
2025-01-11 13:20:00,997.69820986
2025-01-11 13:25:00,997.69820986
2025-01-11 13:30:00,997.69820986
2025-01-11 13:35:00,997.69820986
2025-01-11 13:40:00,997.69820986
2025-01-11 13:45:00,997.69820986
2025-01-11 13:50:00,997.69820986
2025-01-11 13:55:00,997.69820986
2025-01-11 14:00:00,997.69820986
2025-01-11 14:05:00,997.69820986
2025-01-11 14:10:00,997.69820986
2025-01-11 14:15:00,997.69820986
2025-01-11 14:20:00,997.69820986
2025-01-11 14:25:00,997.69820986
2025-01-11 14:30:00,997.69820986
2025-01-11 14:35:00,997.69820986
2025-01-11 14:40:00,997.69820986
2025-01-11 14:45:00,997.69820986
2025-01-11 14:50:00,997.69820986
2025-01-11 14:55:00,997.69820986
2025-01-11 15:00:00,997.69820986
2025-01-11 15:05:00,997.69820986
2025-01-11 15:10:00,997.69820986
2025-01-11 15:15:00,997.69820986
2025-01-11 15:20:00,997.69820986
2025-01-11 15:25:00,997.69820986
2025-01-11 15:30:00,997.69820986
2025-01-11 15:35:00,997.69820986
2025-01-11 15:40:00,997.69820986
2025-01-11 15:45:00,997.69820986
2025-01-11 15:50:00,997.69820986
2025-01-11 15:55:00,997.69820986
2025-01-11 16:00:00,997.69820986
2025-01-11 16:05:00,997.69820986
2025-01-11 16:10:00,997.69820986
2025-01-11 16:15:00,997.69820986
2025-01-11 16:20:00,997.69820986
2025-01-11 16:25:00,997.69820986
2025-01-11 16:30:00,997.69820986
2025-01-11 16:35:00,997.69820986
2025-01-11 16:40:00,997.69820986
2025-01-11 16:45:00,997.69820986
2025-01-11 16:50:00,997.69820986
2025-01-11 16:55:00,997.69820986
2025-01-11 17:00:00,997.69820986
2025-01-11 17:05:00,997.69820986
2025-01-11 17:10:00,997.69820986
2025-01-11 17:15:00,997.69820986
2025-01-11 17:20:00,997.69820986
2025-01-11 17:25:00,997.69820986
2025-01-11 17:30:00,997.69820986
2025-01-11 17:35:00,997.69820986
2025-01-11 17:40:00,997.69820986
2025-01-11 17:45:00,997.69820986
2025-01-11 17:50:00,997.69820986
2025-01-11 17:55:00,997.69820986
2025-01-11 18:00:00,997.69820986
2025-01-11 18:05:00,997.69820986
2025-01-11 18:10:00,997.69820986
2025-01-11 18:15:00,997.69820986
2025-01-11 18:20:00,997.69820986
2025-01-11 18:25:00,997.69820986
2025-01-11 18:30:00,997.69820986
2025-01-11 18:35:00,997.69820986
2025-01-11 18:40:00,997.69820986
2025-01-11 18:45:00,997.69820986
2025-01-11 18:50:00,997.69820986
2025-01-11 18:55:00,997.69820986
2025-01-11 19:00:00,997.69820986
2025-01-11 19:05:00,997.69820986
2025-01-11 19:10:00,997.69820986
2025-01-11 19:15:00,997.69820986
2025-01-11 19:20:00,997.69820986
2025-01-11 19:25:00,997.69820986
2025-01-11 19:30:00,997.69820986
2025-01-11 19:35:00,997.69820986
2025-01-11 19:40:00,997.69820986
2025-01-11 19:45:00,997.69820986
2025-01-11 19:50:00,997.69820986
2025-01-11 19:55:00,997.69820986
2025-01-11 20:00:00,997.69820986
2025-01-11 20:05:00,997.69820986
2025-01-11 20:10:00,997.69820986
2025-01-11 20:15:00,997.69820986
2025-01-11 20:20:00,997.69820986
2025-01-11 20:25:00,997.69820986
2025-01-11 20:30:00,997.69820986
2025-01-11 20:35:00,997.69820986
2025-01-11 20:40:00,997.69820986
2025-01-11 20:45:00,997.69820986
2025-01-11 20:50:00,997.69820986
2025-01-11 20:55:00,997.69820986
2025-01-11 21:00:00,997.69820986
2025-01-11 21:05:00,997.69820986
2025-01-11 21:10:00,997.69820986
2025-01-11 21:15:00,997.69820986
2025-01-11 21:20:00,997.69820986
2025-01-11 21:25:00,997.69820986
2025-01-11 21:30:00,997.69820986
2025-01-11 21:35:00,997.69820986
2025-01-11 21:40:00,998.5335328900001
2025-01-11 21:45:00,1000.24814332
2025-01-11 21:50:00,999.7673949200001
2025-01-11 21:55:00,999.8548037200001
2025-01-11 22:00:00,999.63628172
2025-01-11 22:05:00,999.1555333200001
2025-01-11 22:10:00,999.0681245200001
2025-01-11 22:15:00,997.36365292
2025-01-11 22:20:00,997.36365292
2025-01-11 22:25:00,997.36365292
2025-01-11 22:30:00,997.36365292
2025-01-11 22:35:00,997.36365292
2025-01-11 22:40:00,997.18751808
2025-01-11 22:45:00,996.8352484
2025-01-11 22:50:00,995.29406855
2025-01-11 22:55:00,995.73440565
2025-01-11 23:00:00,995.73440565
2025-01-11 23:05:00,995.99860791
2025-01-11 23:10:00,995.77843936
2025-01-11 23:15:00,995.86650678
2025-01-11 23:20:00,996.3949113
2025-01-11 23:25:00,996.48297872
2025-01-11 23:30:00,996.21877646
2025-01-11 23:35:00,996.65911356
2025-01-11 23:40:00,995.9545742
2025-01-11 23:45:00,995.0739
2025-01-11 23:50:00,995.0739
2025-01-11 23:55:00,995.0739
2025-01-12 00:00:00,995.0739
2025-01-12 00:05:00,995.0739
2025-01-12 00:10:00,995.0739
2025-01-12 00:15:00,995.0739
2025-01-12 00:20:00,995.0739
2025-01-12 00:25:00,995.0739
2025-01-12 00:30:00,995.0739
2025-01-12 00:35:00,995.0739
2025-01-12 00:40:00,995.0739
2025-01-12 00:45:00,995.0739
2025-01-12 00:50:00,995.0739
2025-01-12 00:55:00,995.0739
2025-01-12 01:00:00,995.0739
2025-01-12 01:05:00,995.0739
2025-01-12 01:10:00,995.0739
2025-01-12 01:15:00,995.0739
2025-01-12 01:20:00,995.0739
2025-01-12 01:25:00,995.0739
2025-01-12 01:30:00,995.0739
2025-01-12 01:35:00,995.0739
2025-01-12 01:40:00,995.0739
2025-01-12 01:45:00,995.0739
2025-01-12 01:50:00,995.0739
2025-01-12 01:55:00,995.0739
2025-01-12 02:00:00,995.0739
2025-01-12 02:05:00,995.0739
2025-01-12 02:10:00,995.0739
2025-01-12 02:15:00,995.0739
2025-01-12 02:20:00,995.0739
2025-01-12 02:25:00,995.0739
2025-01-12 02:30:00,995.9565792
2025-01-12 02:35:00,996.177249
2025-01-12 02:40:00,995.82417732
2025-01-12 02:45:00,996.00071316
2025-01-12 02:50:00,996.5303206799999
2025-01-12 02:55:00,997.0599282
2025-01-12 03:00:00,996.8392584
2025-01-12 03:05:00,996.0889810799999
2025-01-12 03:10:00,995.38283772
2025-01-12 03:15:00,994.76496228
2025-01-12 03:20:00,994.50015852
2025-01-12 03:25:00,994.54429248
2025-01-12 03:30:00,994.76496228
2025-01-12 03:35:00,994.36775664
2025-01-12 03:40:00,995.1180339599999
2025-01-12 03:45:00,994.72082832
2025-01-12 03:50:00,994.76496228
2025-01-12 03:55:00,995.91244524
2025-01-12 04:00:00,995.3387037599999
2025-01-12 04:05:00,995.25043584
2025-01-12 04:10:00,994.8973641599999
2025-01-12 04:15:00,994.98563208
2025-01-12 04:20:00,995.16216792
2025-01-12 04:25:00,995.60350752
2025-01-12 04:30:00,995.16216792
2025-01-12 04:35:00,995.60350752
2025-01-12 04:40:00,995.86831128
2025-01-12 04:45:00,995.1180339599999
2025-01-12 04:50:00,994.80909624
2025-01-12 04:55:00,994.94149812
2025-01-12 05:00:00,995.0739
2025-01-12 05:05:00,995.38283772
2025-01-12 05:10:00,994.98563208
2025-01-12 05:15:00,993.88228308
2025-01-12 05:20:00,994.54429248
2025-01-12 05:25:00,994.58842644
2025-01-12 05:30:00,994.36775664
2025-01-12 05:35:00,993.7057472399999
2025-01-12 05:40:00,993.970551
2025-01-12 05:45:00,993.970551
2025-01-12 05:50:00,993.88228308
2025-01-12 05:55:00,994.10295288
2025-01-12 06:00:00,993.970551
2025-01-12 06:05:00,993.7498812
2025-01-12 06:10:00,993.88228308
2025-01-12 06:15:00,993.66161328
2025-01-12 06:20:00,993.7057472399999
2025-01-12 06:25:00,993.61747932
2025-01-12 06:30:00,993.7057472399999
2025-01-12 06:35:00,993.92641704
2025-01-12 06:40:00,993.61747932
2025-01-12 06:45:00,993.04373784
2025-01-12 06:50:00,992.867202
2025-01-12 06:55:00,992.02865676
2025-01-12 07:00:00,992.02865676
2025-01-12 07:05:00,992.02865676
2025-01-12 07:10:00,992.02865676
2025-01-12 07:15:00,992.02865676
2025-01-12 07:20:00,992.02865676
2025-01-12 07:25:00,992.02865676
2025-01-12 07:30:00,992.02865676
2025-01-12 07:35:00,992.02865676
2025-01-12 07:40:00,992.02865676
2025-01-12 07:45:00,992.02865676
2025-01-12 07:50:00,992.02865676
2025-01-12 07:55:00,992.02865676
2025-01-12 08:00:00,992.02865676
2025-01-12 08:05:00,992.02865676
2025-01-12 08:10:00,992.02865676
2025-01-12 08:15:00,992.02865676
2025-01-12 08:20:00,992.02865676
2025-01-12 08:25:00,992.02865676
2025-01-12 08:30:00,992.02865676
2025-01-12 08:35:00,992.02865676
2025-01-12 08:40:00,992.02865676
2025-01-12 08:45:00,992.02865676
2025-01-12 08:50:00,992.02865676
2025-01-12 08:55:00,992.02865676
2025-01-12 09:00:00,992.02865676
2025-01-12 09:05:00,992.02865676
2025-01-12 09:10:00,992.02865676
2025-01-12 09:15:00,992.02865676
2025-01-12 09:20:00,992.02865676
2025-01-12 09:25:00,992.02865676
2025-01-12 09:30:00,992.02865676
2025-01-12 09:35:00,992.02865676
2025-01-12 09:40:00,992.02865676
2025-01-12 09:45:00,992.02865676
2025-01-12 09:50:00,992.02865676
2025-01-12 09:55:00,992.02865676
2025-01-12 10:00:00,992.02865676
2025-01-12 10:05:00,992.02865676
2025-01-12 10:10:00,992.02865676
2025-01-12 10:15:00,992.02865676
2025-01-12 10:20:00,992.02865676
2025-01-12 10:25:00,992.02865676
2025-01-12 10:30:00,992.02865676
2025-01-12 10:35:00,992.02865676
2025-01-12 10:40:00,992.02865676
2025-01-12 10:45:00,992.02865676
2025-01-12 10:50:00,992.02865676
2025-01-12 10:55:00,992.02865676
2025-01-12 11:00:00,992.02865676
2025-01-12 11:05:00,992.02865676
2025-01-12 11:10:00,992.02865676
2025-01-12 11:15:00,992.02865676
2025-01-12 11:20:00,992.02865676
2025-01-12 11:25:00,992.02865676
2025-01-12 11:30:00,992.02865676
2025-01-12 11:35:00,992.02865676
2025-01-12 11:40:00,992.02865676
2025-01-12 11:45:00,992.02865676
2025-01-12 11:50:00,992.02865676
2025-01-12 11:55:00,992.02865676
2025-01-12 12:00:00,992.02865676
2025-01-12 12:05:00,992.02865676
2025-01-12 12:10:00,992.02865676
2025-01-12 12:15:00,992.02865676
2025-01-12 12:20:00,992.02865676
2025-01-12 12:25:00,992.02865676
2025-01-12 12:30:00,992.02865676
2025-01-12 12:35:00,992.34014896
2025-01-12 12:40:00,992.18440286
2025-01-12 12:45:00,991.9663583199999
2025-01-12 12:50:00,992.43359662
2025-01-12 12:55:00,992.77623804
2025-01-12 13:00:00,992.9631333599999
2025-01-12 13:05:00,992.43359662
2025-01-12 13:10:00,992.15325364
2025-01-12 13:15:00,992.02865676
2025-01-12 13:20:00,991.5614184599999
2025-01-12 13:25:00,991.6237169
2025-01-12 13:30:00,992.02865676
2025-01-12 13:35:00,991.9352091
2025-01-12 13:40:00,992.02865676
2025-01-12 13:45:00,991.34337392
2025-01-12 13:50:00,991.5614184599999
2025-01-12 13:55:00,991.6237169
2025-01-12 14:00:00,991.87291066
2025-01-12 14:05:00,991.2810754799999
2025-01-12 14:10:00,991.43682158
2025-01-12 14:15:00,991.09418016
2025-01-12 14:20:00,991.5614184599999
2025-01-12 14:25:00,991.74831378
2025-01-12 14:30:00,991.5302692399999
2025-01-12 14:35:00,991.43682158
2025-01-12 14:40:00,991.7171645599999
2025-01-12 14:45:00,992.05980598
2025-01-12 14:50:00,992.1221044199999
2025-01-12 14:55:00,991.9975075399999
2025-01-12 15:00:00,992.2467012999999
2025-01-12 15:05:00,992.46474584
2025-01-12 15:10:00,992.34014896
2025-01-12 15:15:00,991.18762782
2025-01-12 15:20:00,990.5646434199999
2025-01-12 15:25:00,990.1285543399999
2025-01-12 15:30:00,990.87613562
2025-01-12 15:35:00,990.93843406
2025-01-12 15:40:00,990.87613562
2025-01-12 15:45:00,991.1253293799999
2025-01-12 15:50:00,990.90728484
2025-01-12 15:55:00,990.5334942
2025-01-12 16:00:00,990.34659888
2025-01-12 16:05:00,990.6892402999999
2025-01-12 16:10:00,991.1564785999999
2025-01-12 16:15:00,991.9975075399999
2025-01-12 16:20:00,991.5302692399999
2025-01-12 16:25:00,991.2278712
2025-01-12 16:30:00,990.91611414
2025-01-12 16:35:00,990.97775798
2025-01-12 16:40:00,991.20257206
2025-01-12 16:45:00,991.29105144
2025-01-12 16:50:00,991.41386994
2025-01-12 16:55:00,991.4320777999999
2025-01-12 17:00:00,991.56760108
2025-01-12 17:05:00,991.47691926
2025-01-12 17:10:00,991.4188375800001
2025-01-12 17:15:00,991.5176119600001
2025-01-12 17:20:00,991.6306221200001
2025-01-12 17:25:00,991.50371206
2025-01-12 17:30:00,991.62893796
2025-01-12 17:35:00,991.6247831600001
2025-01-12 17:40:00,991.63088364
2025-01-12 17:45:00,991.5601143399999
2025-01-12 17:50:00,991.2830295800001
2025-01-12 17:55:00,991.3484068600001
2025-01-12 18:00:00,991.16279484
2025-01-12 18:05:00,990.92928476
2025-01-12 18:10:00,991.0746708800001
2025-01-12 18:15:00,991.1759236800001
2025-01-12 18:20:00,991.1952075
2025-01-12 18:25:00,991.20254314
2025-01-12 18:30:00,991.5012622400001
2025-01-12 18:35:00,991.76024146
2025-01-12 18:40:00,991.8252804800001
2025-01-12 18:45:00,991.8430047
2025-01-12 18:50:00,991.88718044
2025-01-12 18:55:00,991.91681582
2025-01-12 19:00:00,991.7945095599999
2025-01-12 19:05:00,991.77756212
2025-01-12 19:10:00,991.80980716
2025-01-12 19:15:00,991.7572571600001
2025-01-12 19:20:00,991.77440686
2025-01-12 19:25:00,991.3700364399999
2025-01-12 19:30:00,991.89074928
2025-01-12 19:35:00,991.55836854
2025-01-12 19:40:00,991.6298947600001
2025-01-12 19:45:00,991.30812774
2025-01-12 19:50:00,990.9801720600001
2025-01-12 19:55:00,990.93861408
2025-01-12 20:00:00,991.0735197800001
2025-01-12 20:05:00,991.0472049
2025-01-12 20:10:00,991.0890217000001
2025-01-12 20:15:00,991.44707988
2025-01-12 20:20:00,991.3566683199999
2025-01-12 20:25:00,991.47637668
2025-01-12 20:30:00,991.89611874
2025-01-12 20:35:00,992.0704085799999
2025-01-12 20:40:00,992.04892836
2025-01-12 20:45:00,992.0328203
2025-01-12 20:50:00,991.78551026
2025-01-12 20:55:00,991.77220204
2025-01-12 21:00:00,992.0269019000001
2025-01-12 21:05:00,992.1616399799999
2025-01-12 21:10:00,991.99711034
2025-01-12 21:15:00,992.4699684999999
2025-01-12 21:20:00,992.48032308
2025-01-12 21:25:00,992.42954272
2025-01-12 21:30:00,992.3438063
2025-01-12 21:35:00,992.31381248
2025-01-12 21:40:00,992.4566431200001
2025-01-12 21:45:00,992.34076814
2025-01-12 21:50:00,992.46549864
2025-01-12 21:55:00,992.40574122
2025-01-12 22:00:00,992.53954602
2025-01-12 22:05:00,992.8922152
2025-01-12 22:10:00,992.9633180000001
2025-01-12 22:15:00,992.9633180000001
2025-01-12 22:20:00,992.9633180000001
2025-01-12 22:25:00,992.9633180000001
2025-01-12 22:30:00,992.9633180000001
2025-01-12 22:35:00,992.9633180000001
2025-01-12 22:40:00,992.9633180000001
2025-01-12 22:45:00,992.4654786800002
2025-01-12 22:50:00,993.00857612
2025-01-12 22:55:00,993.00857612
2025-01-12 23:00:00,992.4654786800002
2025-01-12 23:05:00,992.7370274000001
2025-01-12 23:10:00,992.3297043200001
2025-01-12 23:15:00,993.0990923600001
2025-01-12 23:20:00,992.5107368000001
2025-01-12 23:25:00,992.0128974800001
2025-01-12 23:30:00,991.3792838000002
2025-01-12 23:35:00,991.0172188400002
2025-01-12 23:40:00,990.9267026000001
2025-01-12 23:45:00,990.9719607200001
2025-01-12 23:50:00,990.7456701200001
2025-01-12 23:55:00,990.7004120000001
2025-01-13 00:00:00,990.7004120000001
2025-01-13 00:05:00,990.7004120000001
2025-01-13 00:10:00,990.7004120000001
2025-01-13 00:15:00,990.7004120000001
2025-01-13 00:20:00,990.7004120000001
2025-01-13 00:25:00,990.7004120000001
2025-01-13 00:30:00,990.7004120000001
2025-01-13 00:35:00,990.7004120000001
2025-01-13 00:40:00,990.7004120000001
2025-01-13 00:45:00,990.7004120000001
2025-01-13 00:50:00,990.7004120000001
2025-01-13 00:55:00,990.7004120000001
2025-01-13 01:00:00,990.7004120000001
2025-01-13 01:05:00,990.7004120000001
2025-01-13 01:10:00,990.7004120000001
2025-01-13 01:15:00,990.7004120000001
2025-01-13 01:20:00,990.7004120000001
2025-01-13 01:25:00,990.7004120000001
2025-01-13 01:30:00,990.7004120000001
2025-01-13 01:35:00,990.7004120000001
2025-01-13 01:40:00,990.7004120000001
2025-01-13 01:45:00,990.7004120000001
2025-01-13 01:50:00,990.7004120000001
2025-01-13 01:55:00,990.7004120000001
2025-01-13 02:00:00,990.7004120000001
2025-01-13 02:05:00,990.7004120000001
2025-01-13 02:10:00,990.7004120000001
2025-01-13 02:15:00,990.7004120000001
2025-01-13 02:20:00,990.7004120000001
2025-01-13 02:25:00,990.7004120000001
2025-01-13 02:30:00,990.7004120000001
2025-01-13 02:35:00,990.7004120000001
2025-01-13 02:40:00,990.7004120000001
2025-01-13 02:45:00,990.7004120000001
2025-01-13 02:50:00,990.7004120000001
2025-01-13 02:55:00,990.7004120000001
2025-01-13 03:00:00,990.7004120000001
2025-01-13 03:05:00,990.7004120000001
2025-01-13 03:10:00,990.7004120000001
2025-01-13 03:15:00,991.7969595200002
2025-01-13 03:20:00,991.9797174400002
2025-01-13 03:25:00,991.1116173200002
2025-01-13 03:30:00,990.2435172000002
2025-01-13 03:35:00,990.3805856400002
2025-01-13 03:40:00,990.9745488800002
2025-01-13 03:45:00,993.3960913200002
2025-01-13 03:50:00,993.3960913200002
2025-01-13 03:55:00,993.3960913200002
2025-01-13 04:00:00,993.3960913200002
2025-01-13 04:05:00,993.3960913200002
2025-01-13 04:10:00,993.3960913200002
2025-01-13 04:15:00,993.3960913200002
2025-01-13 04:20:00,993.3960913200002
2025-01-13 04:25:00,993.3960913200002
2025-01-13 04:30:00,993.3960913200002
2025-01-13 04:35:00,993.8059582500002
2025-01-13 04:40:00,994.0792028700002
2025-01-13 04:45:00,994.3979882600003
2025-01-13 04:50:00,994.3069067200003
2025-01-13 04:55:00,994.2613659500003
2025-01-13 05:00:00,995.3543444300002
2025-01-13 05:05:00,996.1740782900002
2025-01-13 05:10:00,996.1740782900002
2025-01-13 05:15:00,996.1740782900002
2025-01-13 05:20:00,996.1740782900002
2025-01-13 05:25:00,996.1740782900002
2025-01-13 05:30:00,996.1740782900002
2025-01-13 05:35:00,996.1740782900002
2025-01-13 05:40:00,996.1740782900002
2025-01-13 05:45:00,996.1740782900002
2025-01-13 05:50:00,996.1740782900002
2025-01-13 05:55:00,996.1740782900002
2025-01-13 06:00:00,996.1740782900002
2025-01-13 06:05:00,995.6657477200002
2025-01-13 06:10:00,994.7415103200002
2025-01-13 06:15:00,995.7119595900002
2025-01-13 06:20:00,995.1574171500002
2025-01-13 06:25:00,996.6361969900001
2025-01-13 06:30:00,997.0983156900002
2025-01-13 06:35:00,998.1611887000001
2025-01-13 06:40:00,998.2074005700002
2025-01-13 06:45:00,998.2074005700002
2025-01-13 06:50:00,998.2074005700002
2025-01-13 06:55:00,998.2074005700002
2025-01-13 07:00:00,998.2074005700002
2025-01-13 07:05:00,998.2074005700002
2025-01-13 07:10:00,998.2074005700002
2025-01-13 07:15:00,998.2074005700002
